heldout_project,model,train_rows,test_rows,n_test,events_test,harrell_c,ipcw_c,auc_30,auc_60,auc_90,mean_dynamic_auc,ibs
CONFSERVER,CoxPH,20000,5000,5000,4218,0.5891938686529243,0.5824179616322485,0.6321687015393375,0.6332897243556922,0.6316885124103411,0.6322683197795558,0.22740977412129015
CONFSERVER,RSF,20000,5000,5000,4218,0.6048027782530389,0.5939798458476162,0.6704002018830466,0.6748998551663392,0.6761390145459388,0.6713985219870411,0.22256789191660306
FLEX,CoxPH,20000,5000,5000,4431,0.5128932450690186,0.5109075390109139,0.5363802106593862,0.5298158480050833,0.5275134506545256,0.5348128600998007,0.18949853732107563
FLEX,RSF,20000,5000,5000,4431,0.5158214092252087,0.513378623195506,0.5409848912304475,0.5330283091986173,0.5281907666432227,0.5389280881104742,0.18365942683914208
HIVE,CoxPH,20000,5000,5000,3587,0.6009122368750652,0.5994642837308941,0.6470590025144423,0.6512157499129394,0.6510452046410531,0.6477143223867752,0.18452351470127745
HIVE,RSF,20000,5000,5000,3587,0.6029194052521395,0.6014808321009751,0.6494411290832445,0.6540360930958181,0.6530691906049606,0.6501263168015794,0.18942626024452752
