model,mode,split,n_test,events_test,harrell_c,ipcw_c,auc_30,auc_60,auc_90,mean_dynamic_auc,ibs
CoxPH,day0,validation,87261,76376,0.5954945190014852,0.5888187773126858,0.6354599724151573,0.6401595382331987,0.643017020084083,0.6365291407130104,0.1985616719073389
CoxPH,day0,test,172132,149713,0.3740368305420219,0.3785729274771306,0.3096015803045669,0.3384030229609831,0.352222798051907,0.3127700231864924,
RSF,day0,validation,5000,4376,0.6166809115520681,0.6061342640713627,0.6727018893605443,0.6722227242712577,0.6782872886547506,0.6730444718687333,0.1959774573314289
RSF,day0,test,5000,4329,0.373739997095724,0.3779092344033483,0.3298087234877391,0.3447492454597355,0.3545569322169721,0.3314374213105366,0.1654487161217367
