mode,model,successful_folds,harrell_c_mean,harrell_c_std,harrell_c_median,harrell_c_min,harrell_c_max,ipcw_c_mean,ipcw_c_std,ipcw_c_median,ipcw_c_min,ipcw_c_max,auc_30_mean,auc_30_std,auc_30_median,auc_30_min,auc_30_max,auc_60_mean,auc_60_std,auc_60_median,auc_60_min,auc_60_max,auc_90_mean,auc_90_std,auc_90_median,auc_90_min,auc_90_max,mean_dynamic_auc_mean,mean_dynamic_auc_std,mean_dynamic_auc_median,mean_dynamic_auc_min,mean_dynamic_auc_max,ibs_mean,ibs_std,ibs_median,ibs_min,ibs_max,km_ibs_mean,km_ibs_std,km_ibs_median,km_ibs_min,km_ibs_max,ibs_gain_vs_km_mean,ibs_gain_vs_km_std,ibs_gain_vs_km_median,ibs_gain_vs_km_min,ibs_gain_vs_km_max
day0,CoxPH,12,0.5503178474914677,0.05492345705231435,0.5435930160170686,0.452250720734787,0.6510561705463067,0.5464695459631752,0.050047616982081426,0.5425163174070972,0.4522358718639122,0.6318435566859745,0.5766005724725815,0.07733225737834107,0.5736723766178292,0.45368963088198,0.7224294068392937,0.5803815840192801,0.08029524261687912,0.5744793930906534,0.4525541114643837,0.7311110069770741,0.5807184537889593,0.08012529417600886,0.5848570738486707,0.4535707827789563,0.7254986714928955,0.5773501751985541,0.07772531111788321,0.5736637955160055,0.4536845738520146,0.7239549883082362,0.21225756787105288,0.07992525042972277,0.1866328256395898,0.1461538223771342,0.4541749544692908,0.2326096866092071,0.07272378722570609,0.20228152828909113,0.1689365012366886,0.4097146948806567,0.020352118738154273,0.04513498019793017,0.0076283546288630506,-0.0444602595886341,0.11157225552164
day0,RSF,12,0.5509301464058652,0.05604436269331817,0.5446084727564863,0.4708585661079384,0.6342430938176996,0.5464016317497622,0.05048354459041888,0.5445197337572752,0.4709456159448393,0.6149626619120665,0.5843273091167461,0.08028551355648762,0.565808938468388,0.4911845898535151,0.7043117178898177,0.5878145196637311,0.08381958924144776,0.5602474228631151,0.4935663124875804,0.7114947839417807,0.5882207258691085,0.08421177325481646,0.5578916244774822,0.4945710575213401,0.7071223305001509,0.5849621071186785,0.08096221508470874,0.5642125576504713,0.4915044461873019,0.7055936157068861,0.2184689962325712,0.07155245622705399,0.1976463343897028,0.1568159771685339,0.4285432526199936,0.23431630151408542,0.07138822856580912,0.2075504460860654,0.1653984619304917,0.4066145079371831,0.015847305281514214,0.02711225266687466,0.0085353877372506,-0.0219287446828104,0.0876357239725227
day7,CoxPH,12,0.5638043303161805,0.056733301690078224,0.5737335225901166,0.4807389486706444,0.6356827671781233,0.5473773989147056,0.05235612155733324,0.5548155785259288,0.479536553525103,0.6318461124344293,0.6039012009005761,0.08198600750794578,0.6032080008012174,0.5024627226005821,0.7079869413343509,0.6015400044273275,0.08367679521055835,0.6045501511053271,0.4972503412561631,0.7162909967935427,0.6024554242608208,0.07992037780976693,0.605581005034086,0.4872833745722822,0.7058082783722965,0.6037832919420534,0.08090037237548259,0.6038314132596865,0.5002252757081166,0.7094626178475825,0.22117880432293416,0.03089280260455071,0.22469532633431216,0.164528258497517,0.2796825669670548,0.2366925394738469,0.03326621533608351,0.2336302315999576,0.1887237328423038,0.30324708087221,0.015513735150912741,0.02728977118810691,0.0154371158344591,-0.0335327407318843,0.0776179239741742
day7,RSF,12,0.5757912071846848,0.054051537646750206,0.5812099258423644,0.4906228260122151,0.6784072934253447,0.5661746738524452,0.050350657557663825,0.5701133914514274,0.4884053616632265,0.673487831984976,0.6336610673839543,0.0849451973630303,0.6305909628435314,0.5112485221015561,0.7566092019623019,0.6298840378172567,0.08327459663313146,0.6196096954221357,0.5144534211267656,0.7422110231943402,0.6291709291195455,0.07817541575513386,0.6181041766189413,0.5110117294821749,0.7362065593106192,0.6329782065640387,0.08250255419919673,0.6267599914662106,0.515456133610833,0.752105407074284,0.21708765060172383,0.026051019308371955,0.22701934284832515,0.1718762916451432,0.248048567440587,0.23258731739213542,0.0317020533097671,0.23320350347885116,0.1866487973357599,0.2975460559228342,0.015499666790411577,0.014791840341471015,0.009515849109712201,0.0015854931327063,0.0524084048343189
