run_signature,mode,heldout_uid,heldout_repository,heldout_project,model,status,error,train_rows,test_rows,wall_seconds,n_test,events_test,harrell_c,n_ipcw_eval,ipcw_c,auc_30,auc_60,auc_90,mean_dynamic_auc,ibs_rows,ibs,km_ibs,ibs_gain_vs_km
de2d050dd049,day0,Apache::FLEX,Apache,FLEX,CoxPH,ok,,50000,35390,41.09641480445862,35390,31564,0.534580252473745,35390,0.5319708947344377,0.5704903868863156,0.5641995475111501,0.557073420093366,0.5685662386120224,2000,0.1848629297652716,0.17803126070648795,-0.006831669058783657
de2d050dd049,day0,Apache::FLEX,Apache,FLEX,RSF,ok,,50000,35390,1587.482103586197,35390,31564,0.5232293588826633,35390,0.5205294109880795,0.5554487246545521,0.5491236409939474,0.5416399606886975,0.5534892028828476,2000,0.1735846264583997,0.17314938882134467,-0.00043523763705502483
de2d050dd049,day0,Apache::HIVE,Apache,HIVE,CoxPH,ok,,50000,25731,38.58788728713989,25731,18516,0.6093325971346898,25731,0.6080250164409108,0.6565762460154616,0.6632596945947804,0.6650016551673716,0.657690789290033,2000,0.1817304610865975,0.19179072558685603,0.010060264500258542
de2d050dd049,day0,Apache::HIVE,Apache,HIVE,RSF,ok,,50000,25731,1223.7863023281097,25731,18516,0.6161749341796139,25731,0.6149202798294907,0.6726599453857471,0.6822749407928409,0.6830173924392768,0.6741796341457694,2000,0.18928169988881044,0.19776999060135386,0.008488290712543423
de2d050dd049,day0,Jira::CONFSERVER,Jira,CONFSERVER,CoxPH,ok,,50000,43910,41.52805995941162,43910,37290,0.5814434686416149,43910,0.5742381892377015,0.6228589663282608,0.6224536912107714,0.6219800107341592,0.622740784011345,2000,0.22429373646390444,0.24870019914317334,0.02440646267926891
de2d050dd049,day0,Jira::CONFSERVER,Jira,CONFSERVER,RSF,ok,,50000,43910,1763.709755897522,43910,37290,0.6012291762192679,43910,0.5895987644465177,0.6660616253918099,0.6719211909492702,0.6729966940881612,0.6673326828230445,2000,0.22669929236133027,0.2521158566192644,0.02541656425793412
de2d050dd049,day0,Jira::JRACLOUD,Jira,JRACLOUD,CoxPH,ok,,50000,27916,27.562686920166016,27916,22142,0.6510561705463067,27913,0.6318435566859745,0.7224294068392937,0.7311110069770741,0.7254986714928955,0.7239549883082362,2000,0.21760639946577,0.32917865498741006,0.11157225552164005
de2d050dd049,day0,Jira::JRACLOUD,Jira,JRACLOUD,RSF,ok,,50000,27916,1164.9388887882233,27916,22142,0.6342430938176996,27913,0.6149626619120665,0.7043117178898177,0.7114947839417807,0.7070690081186479,0.7055936157068861,2000,0.23754821283959554,0.3251839368121183,0.08763572397252278
de2d050dd049,day0,Jira::JRASERVER,Jira,JRASERVER,CoxPH,ok,,50000,47225,44.26870036125183,47225,38678,0.6062088914696193,47224,0.591461066997163,0.6551146228385563,0.6646861126889294,0.6647708859983703,0.6569461849320564,2000,0.21638266625850952,0.25697190445016255,0.040589238191653026
de2d050dd049,day0,Jira::JRASERVER,Jira,JRASERVER,RSF,ok,,50000,47225,1875.9469542503357,47225,38678,0.6231517837995272,47224,0.6040023491921696,0.6980682300186146,0.706060808406174,0.7071223305001509,0.699673938415322,2000,0.22600821549016922,0.25973056347238127,0.03372234798221205
de2d050dd049,day0,MariaDB::MDEV,MariaDB,MDEV,CoxPH,ok,,50000,22437,24.91084933280945,22437,16064,0.533104916421433,22437,0.5337554582996696,0.5464924511398781,0.5338352112520688,0.5260684194084867,0.5425370985126621,2000,0.18479059936347703,0.18414867986266917,-0.0006419195008078582
de2d050dd049,day0,MariaDB::MDEV,MariaDB,MDEV,RSF,ok,,50000,22437,989.8988432884216,22437,16064,0.5483917667104649,22437,0.5487739279145776,0.5645147624402549,0.5566422623829954,0.5521541046485055,0.5620860361934635,2000,0.1848588438319936,0.18550472009047342,0.0006458762584798106
