repository,project,issues,resolved,unresolved,resolved_rate,censoring_rate
Apache,APOLLO,51,24,27,0.47058823529411764,0.5294117647058824
Apache,HERALDRY,5,3,2,0.6,0.4
Apache,OPENMEETINGS,2718,2628,90,0.9668874172185431,0.033112582781456956
Apache,KAND,10,3,7,0.3,0.7
Apache,PIG,5338,4305,1033,0.8064818284001498,0.19351817159985013
Apache,AMQCPP,646,612,34,0.9473684210526315,0.05263157894736842
Apache,LOG4NET,680,456,224,0.6705882352941176,0.32941176470588235
Apache,MJAVADOC,690,657,33,0.9521739130434783,0.04782608695652174
Apache,MCOMPILER,462,384,78,0.8311688311688312,0.16883116883116883
Apache,IBATIS,777,569,208,0.7323037323037324,0.2676962676962677
Apache,XBEAN,312,271,41,0.8685897435897436,0.13141025641025642
Apache,BIGTOP,3622,3013,609,0.8318608503589178,0.16813914964108229
Apache,BEANUTILS,551,396,155,0.7186932849364791,0.2813067150635209
Apache,JDKIM,47,42,5,0.8936170212765957,0.10638297872340426
Apache,PULSAR,17,5,12,0.29411764705882354,0.7058823529411765
Apache,ANY23,526,487,39,0.9258555133079848,0.0741444866920152
Apache,WAGON,594,579,15,0.9747474747474747,0.025252525252525252
Apache,LAUNCHER,12,3,9,0.25,0.75
Apache,SMXCOMP,972,746,226,0.7674897119341564,0.23251028806584362
Apache,IVYDE,384,324,60,0.84375,0.15625
Apache,GUACAMOLE,1485,1198,287,0.8067340067340067,0.19326599326599325
Apache,MPDF,93,87,6,0.9354838709677419,0.06451612903225806
Apache,DOXIASITETOOLS,228,219,9,0.9605263157894737,0.039473684210526314
Apache,TILESSHOW,15,10,5,0.6666666666666666,0.3333333333333333
Apache,CORAL,21,0,21,0.0,1.0
Apache,APEXCORE,782,536,246,0.6854219948849105,0.3145780051150895
Apache,MCHECKSTYLE,397,367,30,0.924433249370277,0.07556675062972293
Apache,ESCIMO,2,1,1,0.5,0.5
Apache,EASYANT,75,56,19,0.7466666666666667,0.25333333333333335
Apache,CLOUDSTACK,40,14,26,0.35,0.65
Apache,TAPESTRY,2499,2325,174,0.9303721488595438,0.06962785114045618
Apache,AVRO,3272,2411,861,0.7368581907090465,0.26314180929095354
Apache,S2GRAPH,258,171,87,0.6627906976744186,0.3372093023255814
Apache,MYNEWT,1,0,1,0.0,1.0
Apache,CRUNCH,697,598,99,0.8579626972740315,0.14203730272596843
Apache,MAILBOX,407,364,43,0.8943488943488943,0.10565110565110565
Apache,YARN,10769,7806,2963,0.7248583898226391,0.27514161017736094
Apache,XAP,589,301,288,0.5110356536502547,0.48896434634974534
Apache,MFCOMMONS,46,37,9,0.8043478260869565,0.1956521739130435
Apache,VCL,1122,981,141,0.8743315508021391,0.12566844919786097
Apache,MAILET,166,141,25,0.8493975903614458,0.15060240963855423
Apache,FEEDPARSER,9,6,3,0.6666666666666666,0.3333333333333333
Apache,MYRIAD,325,176,149,0.5415384615384615,0.4584615384615385
Apache,JCRTCK,19,5,14,0.2631578947368421,0.7368421052631579
Apache,EL,20,6,14,0.3,0.7
Apache,CHAIN,113,76,37,0.672566371681416,0.3274336283185841
Apache,CASSANDRA,17115,14816,2299,0.8656733859187847,0.1343266140812153
Apache,INFRACLOUD1,8,2,6,0.25,0.75
Apache,GEODE,9905,8052,1853,0.8129227662796568,0.18707723372034327
Apache,LOKAHI,8,1,7,0.125,0.875
Apache,RBATIS,2,1,1,0.5,0.5
Apache,WAYANG,46,23,23,0.5,0.5
Apache,HIVE,25731,18516,7215,0.7195989273638801,0.28040107263611985
