feature,coef,hazard_ratio,abs_log_hr
cat__initial_issue_type_Publishing Support,1.7632671433255973,5.831458515886572,1.7632671433255973
cat__initial_issue_type_Public Security Vulnerability,1.6710187973991975,5.317582577730851,1.6710187973991975
cat__initial_issue_type_Atlassian Task,1.6256717464222106,5.0818315930565685,1.6256717464222106
cat__initial_priority_Complex Fast-Track,1.3706786807254523,3.9380224486665303,1.3706786807254523
cat__initial_issue_type_Wish,-1.3022638649383227,0.27191551571070305,1.3022638649383227
cat__initial_issue_type_Suggestion,-1.2351945656133356,0.29077818142846323,1.2351945656133356
cat__initial_issue_type_Feedback,-0.9659866410411116,0.3806074914535856,0.9659866410411116
cat__initial_issue_type_Problem,0.8932108739104587,2.442961111743471,0.8932108739104587
cat__initial_issue_type_User Story,0.7335414301686705,2.0824423886630883,0.7335414301686705
cat__initial_priority_Major,-0.6288737073891287,0.5331919931495225,0.6288737073891287
cat__initial_priority_Minor,-0.6270085069126403,0.5341874311663446,0.6270085069126403
cat__initial_issue_type_Technical task,-0.6108864666992598,0.5428694200488435,0.6108864666992598
cat__initial_issue_type_Test,-0.6066434344870457,0.5451777261305698,0.6066434344870457
cat__initial_priority_Trivial,-0.5942931893458235,0.5519525539734682,0.5942931893458235
cat__initial_issue_type_Epic,-0.576472535299721,0.5618768757983947,0.576472535299721
cat__initial_issue_type_Sub-Task,0.5030137095606255,1.653697532493931,0.5030137095606255
cat__initial_priority_Normal,0.49800094780337434,1.645428682946192,0.49800094780337434
cat__initial_priority_Low,-0.4824984134672029,0.6172393446840037,0.4824984134672029
cat__initial_issue_type_Story,-0.4797133831357698,0.6189607709802551,0.4797133831357698
cat__initial_priority_ ,0.4225789035749529,1.5258916131569271,0.4225789035749529
cat__initial_issue_type_New Feature,-0.41373297340612747,0.6611774796663153,0.41373297340612747
cat__initial_issue_type_Improvement,-0.36670978109795077,0.6930107406783712,0.36670978109795077
cat__initial_issue_type_Request,-0.3266169858470937,0.7213599812038056,0.3266169858470937
cat__initial_priority_Critical,-0.30205490819997405,0.7392974702817151,0.30205490819997405
cat__initial_issue_type_Third-party issue,0.29521523160850494,1.3434154730450403,0.29521523160850494
cat__initial_priority_Medium,-0.2817202263153872,0.7544847399835211,0.2817202263153872
cat__initial_priority_Highest,0.2685305419814763,1.3080409265822535,0.2685305419814763
cat__initial_priority_Unknown,0.2623176688331753,1.2999394270866171,0.2623176688331753
cat__initial_issue_type_Feature,-0.2579671886434137,0.7726205824204724,0.2579671886434137
cat__initial_issue_type_Question,0.2564889146476695,1.2923844391834172,0.2564889146476695
num__initial_assigned,0.20558780472552338,1.2282468221024085,0.20558780472552338
cat__initial_issue_type_Documentation,-0.1807664085440174,0.8346302984333929,0.1807664085440174
cat__initial_issue_type_Task,-0.16995015835659277,0.8437068672852567,0.16995015835659277
cat__initial_issue_type_Fug,0.15135444245174906,1.1634089465306348,0.15135444245174906
cat__initial_issue_type_Concern,-0.13412913779978203,0.8744771292589478,0.13412913779978203
num__assignee_changes_7d,0.12024460865379023,1.1277726808001252,0.12024460865379023
cat__initial_issue_type_Bug,-0.11245277779200019,0.8936395457446574,0.11245277779200019
cat__initial_priority_High,0.10648596995709131,1.1123623198451267,0.10648596995709131
num__inactivity_days_at_7d,-0.06744477279267559,0.9347793444431527,0.06744477279267559
cat__initial_issue_type_Support Request,-0.0565059405566613,0.9450608702908228,0.0565059405566613
num__status_changes_7d,0.04018495075725304,1.0410032907357236,0.04018495075725304
cat__initial_issue_type_New Project,-0.035576610663135264,0.965048798369498,0.035576610663135264
cat__initial_issue_type_Sub-task,-0.0313238668520315,0.9691616429125833,0.0313238668520315
cat__initial_issue_type_Customer Problem,-0.029889560874968843,0.9705527146225067,0.029889560874968843
num__priority_changes_7d,0.02553572333458059,1.0258645529185286,0.02553572333458059
num__changes_7d,-0.021973934147901945,0.9782657340488183,0.021973934147901945
cat__initial_priority_Blocker,-0.01214375235832634,0.9879296854316447,0.01214375235832634
num__created_hour,-0.010067920831641583,0.98998259102471,0.010067920831641583
num__created_weekday,0.0066127463063659795,1.0066346587871526,0.0066127463063659795
num__comments_7d,0.0,1.0,0.0
