model,mode,split,train_rows,wall_seconds,n_test,events_test,harrell_c,n_ipcw_eval,ipcw_c,auc_30,auc_60,auc_90,mean_dynamic_auc,ibs_rows,ibs,km_ibs,ibs_gain_vs_km
CoxPH,day7,validation,100000,278.1500086784363,55295,47222,0.5230300192504963,55295,0.544791029531076,0.5370244085822824,0.5431519426743627,0.5460907349261377,0.5396823506905428,2000,0.2301778237924928,0.21134894814388264,-0.01882887564861016
CoxPH,day7,test,100000,278.1500086784363,114055,88564,0.5624691652776453,114055,0.5594995051380649,0.6005057942421741,0.5865181604710139,0.5852826924380169,0.5951932990257834,2000,0.21988631500594005,0.2068973366033309,-0.012988978402609153
