model,mode,split,train_rows,wall_seconds,n_test,events_test,harrell_c,n_ipcw_eval,ipcw_c,auc_30,auc_60,auc_90,mean_dynamic_auc,ibs_rows,ibs,km_ibs,ibs_gain_vs_km
CoxPH,day0,validation,100000,580.7239103317261,78741,70650,0.5705530500403391,78741,0.5752777970505929,0.600919237029953,0.6007442922999715,0.6036047455754089,0.6010894100206944,2000,0.18530723066319438,0.18034513548696637,-0.004962095176228004
CoxPH,day0,test,100000,580.7239103317261,156100,130492,0.5310576062158219,156100,0.5311819029195941,0.5429120319708091,0.5517928983103629,0.5605006772038422,0.5455946927556354,2000,0.1837895756760962,0.18382151078259631,3.193510650012499e-05
